word	definition	pos	cefr	tags
acuerdo	agreement	noun	A1.1	
amigo	friend	noun	A1.1	
amor	love	noun	A1.1	
años	years	noun	A1.1	
auto	car, court order	noun	A1.1	
ayuda	assistance	noun	A1.1	
buena	good	adj	A1.1	
buenos	good	adj	A1.1	
cada	each	adj	A1.1	
camino	road	noun	A1.1	
caso	case	noun	A1.1	
cierto	true, certain	adj	A1.1	
cinco	five	num	A1.1	
ciudad	city	noun	A1.1	
conmigo	with me	pron	A1.1	
contigo	with you	pron	A1.1	
cosa	thing	noun	A1.1	
cuatro	four	num	A1.1	
cuidado	care, careful	noun	A1.1	
culpa	guilt	noun	A1.1	
dejar	to leave, let	verb	A1.1	
dicho	said	adj	A1.1	
dijo	said	verb	A1.1	
Dios	God	noun	A1.1	
dos	two	num	A1.1	
entrar	to enter	verb	A1.1	
favor	please	noun	A1.1	
final	final	noun	A1.1	
fue	was, went	verb	A1.1	
gente	people	noun	A1.1	
gran	great	adj	A1.1	
guerra	war	noun	A1.1	
haber	to have	verb	A1.1	
hecho	fact	noun	A1.1	
hizo	did, made	verb	A1.1	
hombre	man	noun	A1.1	
lado	side	noun	A1.1	
lista	list	noun	A1.1	
mejor	better, best	adj	A1.1	
morir	to die	verb	A1.1	
muerte	death	noun	A1.1	
muerto	dead	noun	A1.1	
mujer	woman	noun	A1.1	
mundo	world	noun	A1.1	
nombre	name	noun	A1.1	
nuestra	our	adj	A1.1	
nueva	new	adj	A1.1	
número	number	noun	A1.1	
oportunidad	opportunity	noun	A1.1	
pasado	past	noun	A1.1	
persona	person	noun	A1.1	
posible	possible	adj	A1.1	
pregunta	question	noun	A1.1	
primero	first	adj	A1.1	
problema	issue	noun	A1.1	
punto	point	noun	A1.1	
qué	what	adj	A1.1	
quién	who	adj	A1.1	
seguro	insurance; sure, confident	adj	A1.1	
serio	serious	adj	A1.1	
solo	only	adj	A1.1	
suficiente	enough	adj	A1.1	
tipo	type, kind	noun	A1.1	
tres	three	num	A1.1	
uno	one	num	A1.1	
vida	life	noun	A1.1	
acabar	to finish	verb	A1.2	
agente	agent	noun	A1.2	
alrededor	around	adv	A1.2	glue
alta	tall	noun	A1.2	
amable	kind	adj	A1.2	
ambos	both	adj	A1.2	
arma	weapon	noun	A1.2	
armas	weapons	noun	A1.2	
ataque	attack	noun	A1.2	
atención	attention	noun	A1.2	
baja	short	adj	A1.2	
banda	band	noun	A1.2	
basura	trash	noun	A1.2	
blanca	white	noun	A1.2	
bolsa	stock exchange	noun	A1.2	
bonita	pretty	adj	A1.2	
caer	to fall	verb	A1.2	
cambiar	to change	verb	A1.2	
capaz	capable	adj	A1.2	
centro	center, downtown	noun	A1.2	
club	club	noun	A1.2	
completo	complete	adj	A1.2	
conocido	known	adj	A1.2	
contacto	contact	noun	A1.2	
contrario	the contrary, the opposite	adj	A1.2	
conversación	conversation	noun	A1.2	
correcto	correct; right, correct	adj	A1.2	
cuántas	how many	adj	A1.2	
cuestión	question	noun	A1.2	
daño	damage	noun	A1.2	
debido	due	adj	A1.2	
decisión	decision	noun	A1.2	
defensa	defense	noun	A1.2	
diez	ten	num	A1.2	
diferencia	difference	noun	A1.2	
dólares	dollars	noun	A1.2	
edad	age	noun	A1.2	
edificio	building	noun	A1.2	
embargo	seizure, attachment	noun	A1.2	
encuentro	meeting	noun	A1.2	
energía	energy	noun	A1.2	
escrito	written	adj	A1.2	
especial	special	adj	A1.2	
especie	species	noun	A1.2	
estaré	I will be	verb	A1.2	
evitar	to avoid	verb	A1.2	
excepto	except	prep	A1.2	
extraño	strange	adj	A1.2	
falta	misdemeanor	noun	A1.2	
fondo	fund	noun	A1.2	
foto	photo	noun	A1.2	
frente	front	noun	A1.2	
fuerza	strength	noun	A1.2	
futuro	future	noun	A1.2	
general	general	adj	A1.2	
hambre	hunger	noun	A1.2	
haremos	we will do	verb	A1.2	
humano	human	noun	A1.2	
iglesia	church	noun	A1.2	
igual...que	equal...to	phrase	A1.2	
imposible	impossible	adj	A1.2	
información	information	noun	A1.2	
inteligente	intelligent	adj	A1.2	
interior	the inside, the interior	adj	A1.2	
Jesús	Jesus	noun	A1.2	
juez	judge	noun	A1.2	
línea	line	noun	A1.2	
llamado	called	adj	A1.2	
loca	crazy	noun	A1.2	
luz	light	noun	A1.2	
mala	bad	adj	A1.2	
maldición	curse	noun	A1.2	
mantener	keep	verb	A1.2	
máquina	machine	noun	A1.2	
marcha	march	noun	A1.2	
mayoría	majority	noun	A1.2	
memoria	memory	noun	A1.2	
mil	thousand	num	A1.2	
misión	mission	noun	A1.2	
mitad	half	noun	A1.2	
modo	mode, manner, way	noun	A1.2	
necesario	necessary	adj	A1.2	
niña	girl	noun	A1.2	
nivel	level	noun	A1.2	
nueve	nine	num	A1.2	
ocho	eight	num	A1.2	
odio	hate	noun	A1.2	
oficial	official	adj	A1.2	
opción	option	noun	A1.2	
operación	operation	noun	A1.2	
opinión	opinion	noun	A1.2	
paciente	patient	adj	A1.2	
palabra	word	noun	A1.2	
papel	paper	noun	A1.2	
paz	peace	noun	A1.2	
peligro	danger	noun	A1.2	
pena	penalty	noun	A1.2	
peor	worse, worst	adj	A1.2	
pequeña	small	adj	A1.2	
perro	dog	noun	A1.2	
plan	plan	noun	A1.2	
posición	position	noun	A1.2	
principal	main	adj	A1.2	
prisión	prison	noun	A1.2	
raro	rare, strange	adj	A1.2	
recuerdo	memory, recollection	noun	A1.2	
regalo	gift, present	noun	A1.2	
relación	relationship	noun	A1.2	
respecto	regard	noun	A1.2	
respeto	respect	noun	A1.2	
resto	rest	noun	A1.2	
ropa	clothing	noun	A1.2	
sacar	to take out, to withdraw	verb	A1.2	
segura	confident	adj	A1.2	
seis	six	num	A1.2	
siete	seven	num	A1.2	
situación	situation	noun	A1.2	
solamente	only	adv	A1.2	
sorpresa	surprise	noun	A1.2	
sueño	sleep	noun	A1.2	
tendré	I will have	verb	A1.2	
testigo	witness	noun	A1.2	
tonto	silly, stupid	adj	A1.2	
tranquila	calm	adj	A1.2	
través	through	noun	A1.2	
tuvo	had	verb	A1.2	
verdadero	true, real	adj	A1.2	
veremos	we will see	verb	A1.2	
vestido	dress	noun	A1.2	
víctima	victim	noun	A1.2	
vieja	old	adj	A1.2	
vio	saw	verb	A1.2	
visita	visit	noun	A1.2	
voz	voice	noun	A1.2	
zapatos	shoes	noun	A1.2	
zona	zone	noun	A1.2	
abierto	open	adj	A2.1	
abrigo	coat	noun	A2.1	
acciones	shares, stocks	noun	A2.1	
acto	act	noun	A2.1	
acusado	accused	adj	A2.1	
ADN	DNA	abbrev	A2.1	
alegría	joy, happiness	noun	A2.1	
altura	height	noun	A2.1	
amenaza	threat	noun	A2.1	
América	America	noun	A2.1	
anillo	ring	noun	A2.1	
anterior	previous	adj	A2.1	
